RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.633D+02  6.750D+04
    1    3     1     0  ---    1  6.1D-04  5.0D+00  2.372D+02  3.319D+04
    2    4     0     0  con    0  1.0D+00  1.1D+01  3.605D+01  1.552D+03
    3    5     0     0  con    0  1.0D+00  1.4D+00  2.448D+01  8.275D+02
    4    6     0     0  con    0  1.0D+00  2.6D+00  3.924D+01  2.741D+02
    5    7     0     0  con    0  1.0D+00  1.5D+00  9.674D+01  2.356D+02
    6    8     0     0  con    0  1.0D+00  4.4D-01  1.785D+01  1.321D+02
    7    9     0     0  con    0  1.0D+00  4.1D-01  7.513D+00  9.811D+01
    8   10     0     0  con    0  1.0D+00  6.9D-01  1.377D+01  6.706D+01
    9   11     0     0  con    0  1.0D+00  7.9D-01  1.315D+01  4.002D+01
   10   12     0     0  con    0  1.0D+00  1.0D+00  2.057D+01  3.742D+01
   11   13     0     0  con    0  1.0D+00  2.3D-01  4.239D+00  2.148D+01
   12   14     0     0  con    0  1.0D+00  1.2D-01  1.687D+00  1.870D+01
   13   15     0     0  con    0  1.0D+00  3.7D-01  4.788D+00  1.407D+01
   14   16     0     0  con    0  1.0D+00  4.8D-01  1.205D+01  1.257D+01
   15   17     0     0  con    0  1.0D+00  9.1D-02  3.087D+00  9.371D+00
   16   18     0     0  con    0  1.0D+00  1.1D-01  1.315D+00  8.191D+00
   17   19     0     0  con    0  1.0D+00  1.7D-01  2.339D+00  7.119D+00
   18   20     0     0  con    0  1.0D+00  2.7D-01  2.034D+00  5.500D+00
   19   22     0     0  con    1  4.8D-01  2.2D-01  4.401D+00  4.794D+00
   20   23     0     0  con    0  1.0D+00  1.9D-01  8.339D-01  3.888D+00
   21   24     0     0  con    0  1.0D+00  1.4D-01  5.851D-01  3.332D+00
   22   25     0     0  con    0  1.0D+00  2.0D-01  2.860D+00  2.801D+00
   23   26     0     0  con    0  1.0D+00  1.3D-01  9.936D-01  2.325D+00
   24   27     0     0  con    0  1.0D+00  7.9D-02  8.672D-01  2.002D+00
   25   28     0     0  con    0  1.0D+00  1.3D-01  2.113D+00  1.705D+00
   26   29     0     0  con    0  1.0D+00  8.7D-02  1.449D+00  1.488D+00
   27   30     0     0  con    0  1.0D+00  5.6D-02  1.043D+00  1.329D+00
   28   31     0     0  con    0  1.0D+00  1.4D-01  1.242D+00  1.124D+00
   29   32     0     0  con    0  1.0D+00  1.3D-01  2.639D+00  1.012D+00
   30   33     0     0  con    0  1.0D+00  1.8D-02  1.033D+00  8.906D-01
   31   34     0     0  con    0  1.0D+00  7.4D-02  5.492D-01  7.530D-01
   32   35     0     0  con    0  1.0D+00  7.6D-02  8.640D-01  6.683D-01
   33   36     0     0  con    0  1.0D+00  1.7D-01  1.907D+00  6.416D-01
   34   37     0     0  con    0  1.0D+00  3.8D-02  2.215D-01  4.903D-01
   35   38     0     0  con    0  1.0D+00  1.7D-02  1.610D-01  4.626D-01
   36   39     0     0  con    0  1.0D+00  5.0D-02  4.163D-01  3.964D-01
   37   41     0     0  con    1  4.8D-01  5.5D-02  7.422D-01  3.585D-01
   38   42     0     0  con    0  1.0D+00  5.8D-02  2.787D-01  3.136D-01
   39   43     0     0  con    0  1.0D+00  6.8D-02  2.939D-01  2.767D-01
   40   44     0     0  con    0  1.0D+00  5.9D-02  8.155D-01  2.548D-01
   41   45     0     0  con    0  1.0D+00  1.9D-02  2.814D-01  2.343D-01
   42   46     0     0  con    0  1.0D+00  3.0D-02  2.977D-01  2.086D-01
   43   47     0     0  con    0  1.0D+00  3.3D-02  4.714D-01  1.882D-01
   44   48     0     0  con    0  1.0D+00  8.2D-02  6.261D-01  1.597D-01
   45   49     0     0  con    0  1.0D+00  3.4D-02  2.564D-01  1.371D-01
   46   50     0     0  con    0  1.0D+00  2.7D-02  3.021D-01  1.208D-01
   47   51     0     0  con    0  1.0D+00  4.0D-02  3.994D-01  1.042D-01
   48   52     0     0  con    0  1.0D+00  6.4D-02  3.365D-01  8.177D-02
   49   53     0     0  con    0  1.0D+00  5.3D-02  1.760D-01  5.994D-02
   50   54     0     0  con    0  1.0D+00  9.2D-02  3.169D-01  3.528D-02
   51   55     0     0  con    0  1.0D+00  4.8D-02  4.203D-01  1.861D-02
   52   56     0     0  con    0  1.0D+00  1.5D-02  1.608D-01  5.494D-03
   53   57     0     0  con    0  1.0D+00  4.9D-02  2.511D-01 -1.418D-02
   54   58     0     0  con    0  1.0D+00  7.2D-02  9.910D-01 -2.307D-02
   55   59     0     0  con    0  1.0D+00  1.4D-02  4.402D-01 -3.601D-02
   56   60     0     0  con    0  1.0D+00  4.5D-02  1.397D-01 -4.839D-02
   57   61     0     0  con    0  1.0D+00  3.7D-02  2.700D-01 -5.608D-02
   58   62     0     0  con    0  1.0D+00  8.7D-02  2.027D-01 -6.904D-02
   59   63     0     0  con    0  1.0D+00  5.6D-02  3.507D-01 -8.096D-02
   60   64     0     0  con    0  1.0D+00  1.5D-02  9.949D-02 -8.935D-02
