RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   71   76     0     0  con    0  1.0D+00  2.1D-02  1.242D-01 -1.775D-01
   72   77     0     0  con    0  1.0D+00  3.8D-02  1.749D-01 -1.828D-01
   73   78     0     0  con    0  1.0D+00  2.5D-02  3.536D-01 -1.852D-01
   74   79     0     0  con    0  1.0D+00  4.8D-03  1.660D-01 -1.877D-01
   75   80     0     0  con    0  1.0D+00  1.3D-02  1.049D-01 -1.916D-01
   76   81     0     0  con    0  1.0D+00  1.6D-02  1.515D-01 -1.947D-01
   77   82     0     0  con    0  1.0D+00  6.8D-02  8.545D-01 -1.968D-01
   78   83     0     0  con    0  1.0D+00  1.3D-02  1.930D-01 -2.045D-01
   79   84     0     0  con    0  1.0D+00  6.6D-03  8.243D-02 -2.066D-01
   80   85     0     0  con    0  1.0D+00  2.3D-02  1.460D-01 -2.096D-01
   81   86     0     0  con    0  1.0D+00  3.2D-02  2.654D-01 -2.134D-01
   82   87     0     0  con    0  1.0D+00  5.5D-02  2.465D-01 -2.179D-01
   83   88     0     0  con    0  1.0D+00  2.1D-02  4.794D-02 -2.218D-01
   84   89     0     0  con    0  1.0D+00  4.3D-02  2.089D-01 -2.279D-01
   85   90     0     0  con    0  1.0D+00  5.1D-02  5.010D-01 -2.324D-01
   86   91     0     0  con    0  1.0D+00  3.6D-02  2.202D-01 -2.384D-01
   87   92     0     0  con    0  1.0D+00  8.0D-02  1.185D-01 -2.471D-01
   88   93     0     0  con    0  1.0D+00  6.2D-02  4.542D-01 -2.525D-01
   89   94     0     0  con    0  1.0D+00  4.5D-02  3.265D-01 -2.591D-01
   90   95     0     0  con    0  1.0D+00  1.8D-01  6.546D-01 -2.756D-01
   91   96     0     0  con    0  1.0D+00  1.4D-01  7.255D-01 -2.872D-01
   92   97     0     0  con    0  1.0D+00  1.8D-02  3.840D-01 -2.972D-01
   93   98     0     0  con    0  1.0D+00  1.8D-01  3.209D-01 -3.281D-01
   94   99     0     0  con    0  1.0D+00  2.2D-01  6.856D-01 -3.535D-01
   95  100     0     0  con    0  1.0D+00  6.2D-01  8.481D-01 -4.100D-01
   96  101     0     0  con    0  1.0D+00  8.0D-01  1.498D+00 -4.703D-01
   97  102     0     0  con    0  1.0D+00  5.8D-01  5.797D-01 -5.523D-01
   98  103     0     0  con    0  1.0D+00  7.2D-01  5.172D-01 -6.552D-01
   99  104     0     0  con    0  1.0D+00  8.5D-01  1.554D+00 -7.590D-01
  100  105     0     0  con    0  1.0D+00  1.6D+00  1.120D+00 -9.538D-01
  101  106     0     0  con    0  1.0D+00  3.1D+00  9.829D-01 -1.342D+00
  102  107     0     0  con    0  1.0D+00  7.3D+00  1.288D+00 -2.034D+00
  103  108     0     0  con    0  1.0D+00  5.6D+00  2.741D+00 -2.951D+00
  104  109     0     0  con    0  1.0D+00  3.0D+00  2.101D+00 -4.813D+00
