RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.633D+02  6.742D+04
    1    3     1     0  ---    1  6.1D-04  5.0D+00  2.371D+02  3.315D+04
    2    4     0     0  con    0  1.0D+00  1.1D+01  3.602D+01  1.548D+03
    3    5     0     0  con    0  1.0D+00  1.4D+00  2.443D+01  8.257D+02
    4    6     0     0  con    0  1.0D+00  2.6D+00  1.216D+01  2.600D+02
    5    7     0     0  con    0  1.0D+00  1.4D+00  3.203D+01  1.775D+02
    6    8     0     0  con    0  1.0D+00  5.2D-01  6.739D+00  1.052D+02
    7    9     0     0  con    0  1.0D+00  5.8D-01  5.639D+00  7.230D+01
    8   10     0     0  con    0  1.0D+00  5.4D-01  6.828D+00  5.208D+01
    9   11     0     0  con    0  1.0D+00  9.8D-01  1.969D+01  3.823D+01
   10   12     0     0  con    0  1.0D+00  4.1D-01  4.974D+00  2.439D+01
   11   13     0     0  con    0  1.0D+00  1.5D-01  1.701D+00  2.075D+01
   12   14     0     0  con    0  1.0D+00  3.5D-01  1.326D+00  1.492D+01
   13   15     0     0  con    0  1.0D+00  5.4D-01  8.704D+00  1.264D+01
   14   16     0     0  con    0  1.0D+00  1.6D-01  2.030D+00  9.208D+00
   15   17     0     0  con    0  1.0D+00  1.3D-01  8.645D-01  8.020D+00
   16   18     0     0  con    0  1.0D+00  2.0D-01  1.967D+00  6.802D+00
   17   19     0     0  con    0  1.0D+00  2.8D-01  3.313D+00  5.730D+00
   18   20     0     0  con    0  1.0D+00  1.9D-01  8.534D-01  4.646D+00
   19   21     0     0  con    0  1.0D+00  8.3D-02  6.770D-01  4.083D+00
   20   22     0     0  con    0  1.0D+00  2.1D-01  1.137D+00  3.226D+00
   21   24     0     0  con    1  4.3D-01  1.4D-01  1.369D+00  2.859D+00
   22   25     0     0  con    0  1.0D+00  1.1D-01  7.009D-01  2.430D+00
   23   26     0     0  con    0  1.0D+00  1.4D-01  4.301D-01  2.022D+00
   24   27     0     0  con    0  1.0D+00  1.3D-01  1.407D+00  1.756D+00
   25   28     0     0  con    0  1.0D+00  1.5D-01  6.200D-01  1.483D+00
   26   29     0     0  con    0  1.0D+00  8.9D-02  7.375D-01  1.262D+00
   27   30     0     0  con    0  1.0D+00  9.0D-02  4.765D-01  1.077D+00
   28   31     0     0  con    0  1.0D+00  6.6D-02  6.294D-01  9.500D-01
   29   32     0     0  con    0  1.0D+00  9.3D-02  4.082D-01  8.089D-01
   30   33     0     0  con    0  1.0D+00  1.2D-01  7.580D-01  6.880D-01
   31   34     0     0  con    0  1.0D+00  7.2D-02  4.119D-01  5.838D-01
   32   35     0     0  con    0  1.0D+00  8.1D-02  3.769D-01  5.024D-01
   33   36     0     0  con    0  1.0D+00  6.8D-02  1.023D+00  4.550D-01
   34   37     0     0  con    0  1.0D+00  3.4D-02  1.950D-01  4.131D-01
   35   38     0     0  con    0  1.0D+00  5.1D-02  4.212D-01  3.681D-01
   36   39     0     0  con    0  1.0D+00  6.2D-02  6.119D-01  3.288D-01
   37   40     0     0  con    0  1.0D+00  9.7D-02  2.212D-01  2.882D-01
   38   41     0     0  con    0  1.0D+00  3.0D-02  1.444D-01  2.594D-01
   39   42     0     0  con    0  1.0D+00  2.3D-02  1.881D-01  2.366D-01
   40   43     0     0  con    0  1.0D+00  4.1D-02  1.430D-01  2.121D-01
   41   44     0     0  con    0  1.0D+00  6.5D-02  8.027D-01  1.938D-01
   42   45     0     0  con    0  1.0D+00  2.4D-02  1.594D-01  1.686D-01
   43   46     0     0  con    0  1.0D+00  3.2D-02  2.109D-01  1.501D-01
   44   47     0     0  con    0  1.0D+00  4.1D-02  2.509D-01  1.325D-01
   45   48     0     0  con    0  1.0D+00  9.1D-02  9.238D-01  1.152D-01
   46   49     0     0  con    0  1.0D+00  4.4D-02  1.169D-01  8.525D-02
   47   50     0     0  con    0  1.0D+00  2.0D-02  1.417D-01  6.981D-02
   48   51     0     0  con    0  1.0D+00  5.4D-02  3.259D-01  4.569D-02
   49   52     0     0  con    0  1.0D+00  8.3D-02  6.397D-01  3.065D-02
   50   53     0     0  con    0  1.0D+00  3.2D-02  1.278D-01  3.860D-03
   51   54     0     0  con    0  1.0D+00  3.0D-02  1.127D-01 -1.133D-02
   52   55     0     0  con    0  1.0D+00  3.4D-02  1.753D-01 -2.298D-02
   53   56     0     0  con    0  1.0D+00  7.2D-02  6.253D-01 -3.863D-02
   54   57     0     0  con    0  1.0D+00  5.4D-02  1.040D-01 -5.604D-02
   55   58     0     0  con    0  1.0D+00  1.5D-02  8.942D-02 -6.509D-02
   56   59     0     0  con    0  1.0D+00  4.0D-02  1.631D-01 -7.993D-02
   57   60     0     0  con    0  1.0D+00  6.5D-02  8.575D-01 -8.495D-02
   58   61     0     0  con    0  1.0D+00  9.6D-03  2.140D-01 -9.976D-02
   59   62     0     0  con    0  1.0D+00  1.7D-02  1.040D-01 -1.076D-01
   60   63     0     0  con    0  1.0D+00  3.2D-02  1.981D-01 -1.157D-01
