RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         1926     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72   73     0     0  con    0  1.0D+00  1.2D-02  3.194D+01  1.989D+05
   73   74     0     0  con    0  1.0D+00  6.9D-03  1.317D+01  1.989D+05
   74   75     0     0  con    0  1.0D+00  1.3D-02  8.647D+00  1.989D+05
   75   76     0     0  con    0  1.0D+00  1.1D-02  1.106D+01  1.989D+05
   76   77     0     0  con    0  1.0D+00  2.8D-02  3.691D+01  1.989D+05
   77   78     0     0  con    0  1.0D+00  3.2D-03  4.898D+00  1.989D+05
   78   79     0     0  con    0  1.0D+00  1.8D-03  4.701D+00  1.989D+05
   79   80     0     0  con    0  1.0D+00  5.9D-03  1.083D+01  1.989D+05
   80   81     0     0  con    0  1.0D+00  1.4D-02  2.987D+01  1.989D+05
   81   82     0     0  con    0  1.0D+00  6.6D-03  9.926D+00  1.989D+05
   82   83     0     0  con    0  1.0D+00  8.4D-03  5.202D+00  1.989D+05
   83   84     0     0  con    0  1.0D+00  9.1D-03  6.834D+00  1.989D+05
   84   85     0     0  con    0  1.0D+00  1.6D-02  1.825D+01  1.989D+05
   85   86     0     0  con    0  1.0D+00  2.3D-02  2.369D+01  1.989D+05
   86   87     0     0  con    0  1.0D+00  5.5D-03  5.840D+00  1.989D+05
   87   88     0     0  con    0  1.0D+00  3.8D-03  8.122D+00  1.989D+05
   88   89     0     0  con    0  1.0D+00  6.9D-03  1.435D+01  1.989D+05
   89   90     0     0  con    0  1.0D+00  1.9D-02  4.620D+01  1.989D+05
   90   91     0     0  con    0  1.0D+00  8.6D-03  1.181D+01  1.989D+05
   91   92     0     0  con    0  1.0D+00  6.1D-03  5.670D+00  1.989D+05
   92   93     0     0  con    0  1.0D+00  1.0D-02  1.024D+01  1.989D+05
   93   94     0     0  con    0  1.0D+00  1.5D-02  1.427D+01  1.989D+05
   94   95     0     0  con    0  1.0D+00  2.1D-02  1.189D+01  1.989D+05
   95   96     0     0  con    0  1.0D+00  4.8D-03  4.972D+00  1.989D+05
   96   97     0     0  con    0  1.0D+00  6.3D-03  8.520D+00  1.989D+05
   97   98     0     0  con    0  1.0D+00  1.0D-02  1.708D+01  1.989D+05
   98   99     0     0  con    0  1.0D+00  5.5D-03  7.286D+00  1.989D+05
   99  100     0     0  con    0  1.0D+00  1.1D-02  6.349D+00  1.989D+05
  100  101     0     0  con    0  1.0D+00  1.1D-02  1.862D+01  1.989D+05
  101  102     0     0  con    0  1.0D+00  1.2D-02  8.134D+00  1.989D+05
  102  103     0     0  con    0  1.0D+00  8.9D-03  8.071D+00  1.989D+05
  103  104     0     0  con    0  1.0D+00  7.9D-03  9.229D+00  1.989D+05
  104  105     0     0  con    0  1.0D+00  3.9D-03  4.965D+00  1.989D+05
  105  106     0     0  con    0  1.0D+00  8.6D-03  7.704D+00  1.989D+05
  106  107     0     0  con    0  1.0D+00  8.8D-03  1.737D+01  1.989D+05
  107  108     0     0  con    0  1.0D+00  1.5D-03  4.268D+00  1.989D+05
  108  109     0     0  con    0  1.0D+00  4.5D-03  3.454D+00  1.989D+05
  109  110     0     0  con    0  1.0D+00  5.6D-03  7.636D+00  1.989D+05
  110  111     0     0  con    0  1.0D+00  1.3D-02  1.568D+01  1.989D+05
  111  112     0     0  con    0  1.0D+00  1.6D-03  2.850D+00  1.989D+05
  112  113     0     0  con    0  1.0D+00  1.1D-03  2.745D+00  1.989D+05
  113  114     0     0  con    0  1.0D+00  3.0D-03  4.799D+00  1.989D+05
  114  115     0     0  con    0  1.0D+00  6.1D-03  1.014D+01  1.989D+05
  115  116     0     0  con    0  1.0D+00  8.7D-03  8.229D+00  1.989D+05
  116  117     0     0  con    0  1.0D+00  3.2D-03  2.656D+00  1.989D+05
  117  118     0     0  con    0  1.0D+00  4.0D-03  4.328D+00  1.989D+05
  118  119     0     0  con    0  1.0D+00  5.8D-03  5.993D+00  1.989D+05
  119  120     0     0  con    0  1.0D+00  7.0D-03  4.266D+00  1.989D+05
  120  121     0     0  con    0  1.0D+00  5.7D-03  3.696D+00  1.989D+05
  121  122     0     0  con    0  1.0D+00  8.2D-03  5.102D+00  1.989D+05
  122  123     0     0  con    0  1.0D+00  3.4D-03  3.594D+00  1.989D+05
  123  124     0     0  con    0  1.0D+00  3.2D-03  2.674D+00  1.989D+05
  124  125     0     0  con    0  1.0D+00  5.0D-03  6.136D+00  1.989D+05
  125  126     0     0  con    0  1.0D+00  5.2D-03  3.658D+00  1.989D+05
  126  127     0     0  con    0  1.0D+00  4.5D-03  2.743D+00  1.989D+05
  127  128     0     0  con    0  1.0D+00  6.9D-03  5.724D+00  1.989D+05
  128  129     0     0  con    0  1.0D+00  7.8D-03  6.176D+00  1.989D+05
  129  130     0     0  con    0  1.0D+00  1.1D-03  3.022D+00  1.989D+05
  130  131     0     0  con    0  1.0D+00  2.6D-03  2.191D+00  1.989D+05
  131  132     0     0  con    0  1.0D+00  4.8D-03  7.710D+00  1.989D+05
  132  133     0     0  con    0  1.0D+00  7.1D-03  3.451D+00  1.989D+05
  133  134     0     0  con    0  1.0D+00  6.3D-03  4.304D+00  1.989D+05
  134  135     0     0  con    0  1.0D+00  1.0D-02  1.009D+01  1.989D+05
  135  136     0     0  con    0  1.0D+00  1.2D-03  3.756D+00  1.989D+05
  136  137     0     0  con    0  1.0D+00  1.3D-03  3.863D+00  1.989D+05
  137  138     0     0  con    0  1.0D+00  2.9D-03  7.372D+00  1.989D+05
  138  139     0     0  con    0  1.0D+00  9.0D-03  1.197D+01  1.989D+05
  139  140     0     0  con    0  1.0D+00  3.2D-03  2.784D+00  1.989D+05
  140  141     0     0  con    0  1.0D+00  5.1D-03  3.388D+00  1.989D+05
  141  142     0     0  con    0  1.0D+00  6.3D-03  4.531D+00  1.989D+05
  142  143     0     0  con    0  1.0D+00  1.2D-02  1.413D+01  1.989D+05
  143  144     0     0  con    0  1.0D+00  3.8D-03  3.622D+00  1.989D+05
  144  145     0     0  con    0  1.0D+00  2.4D-03  2.183D+00  1.989D+05
  145  146     0     0  con    0  1.0D+00  4.9D-03  4.084D+00  1.989D+05
  146  147     0     0  con    0  1.0D+00  7.3D-03  7.565D+00  1.989D+05
  147  149     0     0  con    1  4.5D-01  8.6D-03  1.359D+01  1.989D+05
  148  150     0     0  con    0  1.0D+00  5.5D-03  3.113D+00  1.989D+05
  149  151     0     0  con    0  1.0D+00  2.6D-03  2.821D+00  1.989D+05
  150  152     0     0  con    0  1.0D+00  3.5D-03  4.907D+00  1.989D+05
  151  153     0     0  con    0  1.0D+00  6.0D-03  8.193D+00  1.989D+05
  152  154     0     0  con    0  1.0D+00  4.6D-03  3.486D+00  1.989D+05
  153  155     0     0  con    0  1.0D+00  3.7D-03  2.265D+00  1.989D+05
  154  156     0     0  con    0  1.0D+00  3.9D-03  5.878D+00  1.989D+05
  155  157     0     0  con    0  1.0D+00  5.7D-03  7.287D+00  1.989D+05
  156  158     0     0  con    0  1.0D+00  2.7D-03  2.190D+00  1.989D+05
  157  159     0     0  con    0  1.0D+00  4.6D-03  2.995D+00  1.989D+05
  158  160     0     0  con    0  1.0D+00  7.7D-03  1.024D+01  1.989D+05
  159  161     0     0  con    0  1.0D+00  7.0D-03  3.127D+00  1.989D+05
  160  162     0     0  con    0  1.0D+00  6.0D-03  3.271D+00  1.989D+05
  161  163     0     0  con    0  1.0D+00  9.6D-03  7.258D+00  1.989D+05
  162  164     0     0  con    0  1.0D+00  6.8D-03  3.228D+00  1.989D+05
  163  165     0     0  con    0  1.0D+00  5.4D-03  2.800D+00  1.989D+05
  164  166     0     0  con    0  1.0D+00  1.2D-02  8.127D+00  1.989D+05
  165  167     0     0  con    0  1.0D+00  1.0D-02  5.914D+00  1.989D+05
  166  168     0     0  con    0  1.0D+00  4.4D-03  2.812D+00  1.989D+05
  167  169     0     0  con    0  1.0D+00  1.0D-02  2.625D+00  1.989D+05
  168  170     0     0  con    0  1.0D+00  1.5D-02  1.443D+01  1.989D+05
  169  171     0     0  con    0  1.0D+00  2.7D-03  5.238D+00  1.989D+05
  170  172     0     0  con    0  1.0D+00  6.6D-03  2.710D+00  1.989D+05
  171  173     0     0  con    0  1.0D+00  7.7D-03  5.031D+00  1.989D+05
  172  174     0     0  con    0  1.0D+00  2.0D-02  1.698D+01  1.989D+05
  173  175     0     0  con    0  1.0D+00  1.3D-02  6.168D+00  1.989D+05
  174  176     0     0  con    0  1.0D+00  4.7D-03  3.606D+00  1.989D+05
  175  177     0     0  con    0  1.0D+00  1.0D-02  5.009D+00  1.989D+05
  176  178     0     0  con    0  1.0D+00  1.3D-02  9.791D+00  1.989D+05
  177  179     0     0  con    0  1.0D+00  6.6D-03  3.642D+00  1.989D+05
  178  180     0     0  con    0  1.0D+00  9.3D-03  3.668D+00  1.989D+05
  179  181     0     0  con    0  1.0D+00  1.1D-02  8.930D+00  1.989D+05
  180  182     0     0  con    0  1.0D+00  2.0D-02  9.213D+00  1.989D+05
  181  183     0     0  con    0  1.0D+00  7.8D-03  3.823D+00  1.989D+05
  182  184     0     0  con    0  1.0D+00  8.2D-03  4.376D+00  1.989D+05
  183  185     0     0  con    0  1.0D+00  1.1D-02  5.579D+00  1.989D+05
  184  186     0     0  con    0  1.0D+00  2.4D-02  1.225D+01  1.989D+05
  185  187     0     0  con    0  1.0D+00  4.0D-03  3.917D+00  1.989D+05
  186  188     0     0  con    0  1.0D+00  5.4D-03  3.898D+00  1.989D+05
  187  189     0     0  con    0  1.0D+00  1.1D-02  5.450D+00  1.989D+05
  188  190     0     0  con    0  1.0D+00  2.5D-02  2.248D+01  1.989D+05
  189  191     0     0  con    0  1.0D+00  1.3D-02  4.079D+00  1.989D+05
  190  192     0     0  con    0  1.0D+00  5.4D-03  5.058D+00  1.989D+05
  191  193     0     0  con    0  1.0D+00  1.4D-02  6.891D+00  1.989D+05
  192  194     0     0  con    0  1.0D+00  2.6D-02  1.966D+01  1.989D+05
