RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   71   75     0     0  con    0  1.0D+00  1.9D-02  9.785D-02 -1.947D-01
   72   76     0     0  con    0  1.0D+00  2.3D-02  4.587D-02 -1.985D-01
   73   77     0     0  con    0  1.0D+00  2.1D-02  4.591D-02 -2.013D-01
   74   78     0     0  con    0  1.0D+00  4.1D-02  2.550D-01 -2.047D-01
   75   79     0     0  con    0  1.0D+00  2.4D-02  5.340D-02 -2.092D-01
   76   80     0     0  con    0  1.0D+00  1.2D-02  4.126D-02 -2.121D-01
   77   81     0     0  con    0  1.0D+00  2.4D-02  1.004D-01 -2.164D-01
   78   82     0     0  con    0  1.0D+00  4.5D-02  9.530D-02 -2.229D-01
   79   83     0     0  con    0  1.0D+00  8.1D-02  3.575D-01 -2.288D-01
   80   84     0     0  con    0  1.0D+00  1.0D-02  6.737D-02 -2.347D-01
   81   85     0     0  con    0  1.0D+00  1.5D-02  1.498D-01 -2.390D-01
   82   86     0     0  con    0  1.0D+00  2.8D-02  1.770D-01 -2.435D-01
   83   87     0     0  con    0  1.0D+00  1.1D-01  5.631D-01 -2.486D-01
   84   88     0     0  con    0  1.0D+00  2.9D-02  1.785D-01 -2.596D-01
   85   89     0     0  con    0  1.0D+00  5.0D-02  1.044D-01 -2.679D-01
   86   90     0     0  con    0  1.0D+00  7.6D-02  1.669D-01 -2.761D-01
   87   91     0     0  con    0  1.0D+00  1.5D-01  3.612D-01 -2.940D-01
   88   92     0     0  con    0  1.0D+00  3.7D-01  6.992D-01 -3.122D-01
   89   93     0     0  con    0  1.0D+00  8.2D-02  1.354D-01 -3.385D-01
   90   94     0     0  con    0  1.0D+00  7.9D-02  3.782D-01 -3.600D-01
   91   95     0     0  con    0  1.0D+00  2.0D-01  5.237D-01 -3.922D-01
   92   96     0     0  con    0  1.0D+00  6.2D-01  1.213D+00 -4.355D-01
   93   97     0     0  con    0  1.0D+00  3.2D-01  5.189D-01 -5.073D-01
   94   98     0     0  con    0  1.0D+00  6.8D-01  3.986D-01 -6.017D-01
   95   99     0     0  con    0  1.0D+00  6.8D-01  5.723D-01 -6.786D-01
   96  100     0     0  con    0  1.0D+00  1.6D+00  9.096D-01 -8.684D-01
   97  101     0     0  con    0  1.0D+00  4.1D+00  3.215D+00 -9.468D-01
   98  102     0     0  con    0  1.0D+00  5.8D-01  9.542D-01 -1.406D+00
   99  103     0     0  con    0  1.0D+00  1.2D+00  7.769D-01 -1.802D+00
  100  104     0     0  con    0  1.0D+00  3.7D+00  2.344D+00 -2.528D+00
  101  105     0     0  con    0  1.0D+00  6.6D+00  3.495D+00 -3.793D+00
  102  106     0     0  con    0  1.0D+00  1.0D+01  6.045D+00 -5.978D+00
  103  107     0     0  con    0  1.0D+00  5.3D+00  3.587D+00 -9.336D+00
  104  108     0     0  con    0  1.0D+00  1.2D+00  2.167D+00 -1.691D+01
  105  109     0     0  con    0  1.0D+00  1.4D+01  3.569D+00 -2.388D+01
  106  111     0     0  con    1  3.3D-01  9.2D-01  2.825D+00 -2.922D+01
  107  112     0     0  con    0  1.0D+00  5.4D+00  2.623D+00 -3.481D+01
  108  113     0     0  con    0  1.0D+00  3.4D+00  3.500D+00 -3.904D+01
  109  114     0     0  con    0  1.0D+00  6.6D+00  6.826D+00 -4.356D+01
  110  115     0     0  con    0  1.0D+00  1.1D+00  3.438D+00 -4.809D+01
  111  116     0     0  con    0  1.0D+00  1.4D+00  4.343D+00 -5.205D+01
  112  117     0     0  con    0  1.0D+00  3.4D+00  1.257D+01 -5.692D+01
  113  118     0     0  con    0  1.0D+00  9.5D-01  2.716D+00 -6.164D+01
  114  119     0     0  con    0  1.0D+00  1.3D+00  1.279D+00 -6.422D+01
