RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.633D+02  6.755D+04
    1    3     1     0  ---    1  6.1D-04  5.0D+00  2.374D+02  3.321D+04
    2    4     0     0  con    0  1.0D+00  1.1D+01  3.797D+01  1.558D+03
    3    5     0     0  con    0  1.0D+00  1.4D+00  2.452D+01  8.296D+02
    4    6     0     0  con    0  1.0D+00  2.6D+00  6.853D+01  3.035D+02
    5    7     0     0  con    0  1.0D+00  1.5D+00  1.176D+02  2.643D+02
    6    8     0     0  con    0  1.0D+00  5.2D-01  2.125D+01  1.495D+02
    7    9     0     0  con    0  1.0D+00  3.6D-01  5.758D+00  1.144D+02
    8   10     0     0  con    0  1.0D+00  8.0D-01  1.776D+01  7.371D+01
    9   11     0     0  con    0  1.0D+00  7.7D-01  1.531D+01  4.461D+01
   10   12     0     0  con    0  1.0D+00  1.0D+00  2.494D+01  3.378D+01
   11   13     0     0  con    0  1.0D+00  2.9D-01  1.062D+01  2.302D+01
   12   14     0     0  con    0  1.0D+00  1.6D-01  3.625D+00  1.952D+01
   13   15     0     0  con    0  1.0D+00  2.2D-01  1.896D+00  1.571D+01
   14   16     0     0  con    0  1.0D+00  3.7D-01  5.459D+00  1.195D+01
   15   17     0     0  con    0  1.0D+00  5.3D-01  1.139D+01  1.118D+01
   16   18     0     0  con    0  1.0D+00  8.8D-02  1.235D+00  8.154D+00
   17   19     0     0  con    0  1.0D+00  7.4D-02  1.469D+00  7.283D+00
   18   20     0     0  con    0  1.0D+00  1.9D-01  2.513D+00  6.124D+00
   19   21     0     0  con    0  1.0D+00  2.9D-01  6.097D+00  5.336D+00
   20   22     0     0  con    0  1.0D+00  1.4D-01  8.096D-01  4.365D+00
   21   23     0     0  con    0  1.0D+00  9.3D-02  9.788D-01  3.884D+00
   22   24     0     0  con    0  1.0D+00  1.5D-01  2.027D+00  3.333D+00
   23   25     0     0  con    0  1.0D+00  2.5D-01  4.899D+00  2.864D+00
   24   26     0     0  con    0  1.0D+00  1.2D-01  4.983D-01  2.335D+00
   25   27     0     0  con    0  1.0D+00  4.1D-02  6.213D-01  2.116D+00
   26   28     0     0  con    0  1.0D+00  1.1D-01  8.363D-01  1.778D+00
   27   29     0     0  con    0  1.0D+00  1.7D-01  2.975D+00  1.534D+00
   28   30     0     0  con    0  1.0D+00  1.1D-01  5.907D-01  1.266D+00
   29   31     0     0  con    0  1.0D+00  3.2D-02  3.861D-01  1.163D+00
   30   32     0     0  con    0  1.0D+00  8.2D-02  8.440D-01  1.016D+00
   31   33     0     0  con    0  1.0D+00  1.5D-01  3.115D+00  9.455D-01
   32   34     0     0  con    0  1.0D+00  2.2D-02  7.651D-01  7.967D-01
   33   35     0     0  con    0  1.0D+00  4.1D-02  3.916D-01  7.212D-01
   34   36     0     0  con    0  1.0D+00  6.6D-02  7.704D-01  6.505D-01
   35   37     0     0  con    0  1.0D+00  1.1D-01  1.440D+00  5.550D-01
   36   38     0     0  con    0  1.0D+00  1.2D-01  1.306D+00  4.952D-01
   37   39     0     0  con    0  1.0D+00  2.6D-02  3.224D-01  4.465D-01
   38   40     0     0  con    0  1.0D+00  2.2D-02  5.366D-01  4.082D-01
   39   41     0     0  con    0  1.0D+00  3.8D-02  6.172D-01  3.652D-01
   40   42     0     0  con    0  1.0D+00  1.0D-01  2.061D+00  3.163D-01
   41   43     0     0  con    0  1.0D+00  5.3D-02  6.074D-01  2.696D-01
   42   44     0     0  con    0  1.0D+00  9.6D-03  2.682D-01  2.514D-01
   43   45     0     0  con    0  1.0D+00  2.5D-02  2.860D-01  2.303D-01
   44   46     0     0  con    0  1.0D+00  3.6D-02  4.296D-01  2.101D-01
   45   47     0     0  con    0  1.0D+00  6.9D-02  7.552D-01  1.890D-01
   46   48     0     0  con    0  1.0D+00  2.5D-02  1.791D-01  1.665D-01
   47   49     0     0  con    0  1.0D+00  3.4D-02  2.745D-01  1.464D-01
   48   50     0     0  con    0  1.0D+00  4.0D-02  3.353D-01  1.296D-01
   49   51     0     0  con    0  1.0D+00  9.2D-02  1.218D+00  1.227D-01
   50   52     0     0  con    0  1.0D+00  7.9D-03  1.665D-01  9.603D-02
   51   53     0     0  con    0  1.0D+00  1.1D-02  1.864D-01  8.511D-02
   52   54     0     0  con    0  1.0D+00  4.0D-02  4.205D-01  6.626D-02
   53   55     0     0  con    0  1.0D+00  7.1D-02  5.978D-01  4.150D-02
   54   56     0     0  con    0  1.0D+00  1.1D-01  8.967D-01  2.037D-02
   55   57     0     0  con    0  1.0D+00  9.6D-03  1.690D-01  3.983D-03
   56   58     0     0  con    0  1.0D+00  1.9D-02  3.171D-01 -7.845D-03
   57   59     0     0  con    0  1.0D+00  2.8D-02  3.123D-01 -1.744D-02
   58   60     0     0  con    0  1.0D+00  9.1D-02  9.301D-01 -2.845D-02
   59   61     0     0  con    0  1.0D+00  2.2D-02  2.932D-01 -4.701D-02
   60   62     0     0  con    0  1.0D+00  1.9D-02  1.997D-01 -5.697D-02
