RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.633D+02  6.744D+04
    1    3     1     0  ---    1  6.1D-04  5.0D+00  2.371D+02  3.317D+04
    2    4     0     0  con    0  1.0D+00  1.1D+01  3.603D+01  1.549D+03
    3    5     0     0  con    0  1.0D+00  1.4D+00  2.445D+01  8.262D+02
    4    6     0     0  con    0  1.0D+00  2.6D+00  1.879D+01  2.623D+02
    5    7     0     0  con    0  1.0D+00  1.4D+00  5.081D+01  1.892D+02
    6    8     0     0  con    0  1.0D+00  4.6D-01  7.389D+00  1.116D+02
    7    9     0     0  con    0  1.0D+00  5.4D-01  8.610D+00  7.792D+01
    8   10     0     0  con    0  1.0D+00  5.5D-01  8.433D+00  5.622D+01
    9   11     0     0  con    0  1.0D+00  9.2D-01  6.861D+00  3.576D+01
   10   12     0     0  con    0  1.0D+00  7.3D-01  1.391D+01  3.016D+01
   11   13     0     0  con    0  1.0D+00  2.7D-01  1.790D+00  2.130D+01
   12   14     0     0  con    0  1.0D+00  1.3D-01  1.524D+00  1.833D+01
   13   15     0     0  con    0  1.0D+00  3.8D-01  3.598D+00  1.345D+01
   14   16     0     0  con    0  1.0D+00  4.6D-01  6.052D+00  1.082D+01
   15   17     0     0  con    0  1.0D+00  2.7D-01  1.489D+00  7.990D+00
   16   18     0     0  con    0  1.0D+00  1.0D-01  9.539D-01  6.975D+00
   17   19     0     0  con    0  1.0D+00  1.9D-01  1.542D+00  5.856D+00
   18   20     0     0  con    0  1.0D+00  3.0D-01  5.702D+00  5.399D+00
   19   21     0     0  con    0  1.0D+00  4.9D-02  1.296D+00  4.376D+00
   20   22     0     0  con    0  1.0D+00  8.3D-02  7.323D-01  3.880D+00
   21   23     0     0  con    0  1.0D+00  1.4D-01  1.512D+00  3.387D+00
   22   24     0     0  con    0  1.0D+00  2.5D-01  7.739D-01  2.626D+00
   23   26     0     0  con    1  4.5D-01  1.7D-01  2.923D+00  2.268D+00
   24   27     0     0  con    0  1.0D+00  8.9D-02  7.913D-01  1.961D+00
   25   28     0     0  con    0  1.0D+00  9.0D-02  7.840D-01  1.714D+00
   26   29     0     0  con    0  1.0D+00  1.0D-01  1.124D+00  1.504D+00
   27   30     0     0  con    0  1.0D+00  1.8D-01  2.234D+00  1.344D+00
   28   31     0     0  con    0  1.0D+00  4.8D-02  9.438D-01  1.080D+00
   29   32     0     0  con    0  1.0D+00  3.6D-02  3.551D-01  9.658D-01
   30   33     0     0  con    0  1.0D+00  6.3D-02  5.431D-01  8.556D-01
   31   34     0     0  con    0  1.0D+00  1.1D-01  5.442D-01  6.973D-01
   32   35     0     0  con    0  1.0D+00  1.7D-01  2.063D+00  6.731D-01
   33   36     0     0  con    0  1.0D+00  4.2D-02  2.442D-01  5.429D-01
   34   37     0     0  con    0  1.0D+00  1.4D-02  2.173D-01  5.080D-01
   35   38     0     0  con    0  1.0D+00  5.3D-02  4.676D-01  4.455D-01
   36   39     0     0  con    0  1.0D+00  8.9D-02  7.298D-01  3.911D-01
   37   40     0     0  con    0  1.0D+00  7.3D-02  2.436D-01  3.337D-01
   38   41     0     0  con    0  1.0D+00  3.5D-02  1.329D-01  3.010D-01
   39   42     0     0  con    0  1.0D+00  6.0D-02  3.890D-01  2.623D-01
   40   43     0     0  con    0  1.0D+00  7.7D-02  8.475D-01  2.560D-01
   41   44     0     0  con    0  1.0D+00  1.1D-02  1.629D-01  2.206D-01
   42   45     0     0  con    0  1.0D+00  1.5D-02  1.401D-01  2.042D-01
   43   46     0     0  con    0  1.0D+00  3.6D-02  2.451D-01  1.847D-01
   44   47     0     0  con    0  1.0D+00  5.6D-02  1.874D-01  1.564D-01
   45   49     0     0  con    1  4.5D-01  5.5D-02  6.187D-01  1.401D-01
   46   50     0     0  con    0  1.0D+00  4.6D-02  1.611D-01  1.196D-01
   47   51     0     0  con    0  1.0D+00  3.1D-02  1.288D-01  1.049D-01
   48   52     0     0  con    0  1.0D+00  5.8D-02  2.388D-01  8.321D-02
   49   53     0     0  con    0  1.0D+00  8.3D-02  1.039D+00  7.699D-02
   50   54     0     0  con    0  1.0D+00  8.2D-03  3.109D-01  4.721D-02
   51   55     0     0  con    0  1.0D+00  1.9D-02  1.390D-01  3.085D-02
   52   56     0     0  con    0  1.0D+00  3.5D-02  2.670D-01  1.581D-02
   53   57     0     0  con    0  1.0D+00  5.7D-02  3.099D-01 -6.696D-03
   54   58     0     0  con    0  1.0D+00  1.2D-01  1.225D+00 -1.022D-02
   55   59     0     0  con    0  1.0D+00  1.6D-02  1.016D-01 -4.183D-02
   56   60     0     0  con    0  1.0D+00  7.3D-03  9.850D-02 -4.884D-02
   57   61     0     0  con    0  1.0D+00  4.1D-02  2.098D-01 -6.249D-02
   58   62     0     0  con    0  1.0D+00  7.4D-02  5.045D-01 -7.342D-02
   59   63     0     0  con    0  1.0D+00  3.5D-02  1.516D-01 -8.957D-02
   60   64     0     0  con    0  1.0D+00  4.5D-02  1.633D-01 -1.014D-01
