RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.633D+02  6.737D+04
    1    3     1     0  ---    1  6.1D-04  5.0D+00  2.370D+02  3.313D+04
    2    4     0     0  con    0  1.0D+00  1.1D+01  3.600D+01  1.546D+03
    3    5     0     0  con    0  1.0D+00  1.4D+00  2.440D+01  8.250D+02
    4    6     0     0  con    0  1.0D+00  2.6D+00  1.032D+01  2.583D+02
    5    7     0     0  con    0  1.0D+00  1.3D+00  1.476D+01  1.700D+02
    6    8     0     0  con    0  1.0D+00  5.8D-01  6.690D+00  1.006D+02
    7    9     0     0  con    0  1.0D+00  6.0D-01  4.315D+00  6.846D+01
    8   10     0     0  con    0  1.0D+00  5.4D-01  3.658D+00  4.907D+01
    9   11     0     0  con    0  1.0D+00  1.0D+00  9.386D+00  3.813D+01
   10   12     0     0  con    0  1.0D+00  3.0D-01  2.091D+00  2.289D+01
   11   13     0     0  con    0  1.0D+00  1.3D-01  1.652D+00  1.966D+01
   12   14     0     0  con    0  1.0D+00  4.0D-01  1.908D+00  1.418D+01
   13   16     0     0  con    1  4.7D-01  2.8D-01  2.503D+00  1.180D+01
   14   17     0     0  con    0  1.0D+00  2.5D-01  1.287D+00  9.350D+00
   15   18     0     0  con    0  1.0D+00  2.8D-01  9.753D-01  7.396D+00
   16   19     0     0  con    0  1.0D+00  2.4D-01  1.324D+00  6.227D+00
   17   20     0     0  con    0  1.0D+00  1.8D-01  8.013D-01  5.209D+00
   18   21     0     0  con    0  1.0D+00  1.4D-01  7.216D-01  4.419D+00
   19   22     0     0  con    0  1.0D+00  2.0D-01  9.432D-01  3.637D+00
   20   23     0     0  con    0  1.0D+00  1.8D-01  7.288D-01  2.965D+00
   21   24     0     0  con    0  1.0D+00  1.4D-01  5.759D-01  2.426D+00
   22   25     0     0  con    0  1.0D+00  1.6D-01  8.000D-01  2.029D+00
   23   26     0     0  con    0  1.0D+00  1.2D-01  5.803D-01  1.770D+00
   24   27     0     0  con    0  1.0D+00  6.2D-02  3.827D-01  1.550D+00
   25   28     0     0  con    0  1.0D+00  1.2D-01  3.567D-01  1.290D+00
   26   29     0     0  con    0  1.0D+00  1.6D-01  6.999D-01  1.132D+00
   27   30     0     0  con    0  1.0D+00  7.4D-02  3.420D-01  9.610D-01
   28   31     0     0  con    0  1.0D+00  7.3D-02  2.344D-01  8.406D-01
   29   32     0     0  con    0  1.0D+00  7.4D-02  3.324D-01  7.511D-01
   30   33     0     0  con    0  1.0D+00  1.3D-01  5.037D-01  6.414D-01
   31   34     0     0  con    0  1.0D+00  6.6D-02  3.264D-01  5.541D-01
   32   35     0     0  con    0  1.0D+00  3.1D-02  2.133D-01  4.904D-01
   33   36     0     0  con    0  1.0D+00  5.9D-02  2.439D-01  4.198D-01
   34   37     0     0  con    0  1.0D+00  7.3D-02  4.873D-01  3.771D-01
   35   38     0     0  con    0  1.0D+00  3.6D-02  1.813D-01  3.308D-01
   36   39     0     0  con    0  1.0D+00  5.6D-02  1.442D-01  2.881D-01
   37   40     0     0  con    0  1.0D+00  5.1D-02  3.472D-01  2.599D-01
   38   41     0     0  con    0  1.0D+00  7.3D-02  1.507D-01  2.273D-01
   39   42     0     0  con    0  1.0D+00  3.2D-02  1.354D-01  2.039D-01
   40   43     0     0  con    0  1.0D+00  3.7D-02  1.319D-01  1.793D-01
   41   44     0     0  con    0  1.0D+00  4.0D-02  1.407D-01  1.580D-01
   42   45     0     0  con    0  1.0D+00  4.6D-02  1.637D-01  1.352D-01
   43   46     0     0  con    0  1.0D+00  5.4D-02  1.426D-01  1.149D-01
   44   47     0     0  con    0  1.0D+00  4.0D-02  1.210D-01  9.573D-02
   45   48     0     0  con    0  1.0D+00  5.3D-02  1.318D-01  7.648D-02
   46   49     0     0  con    0  1.0D+00  6.5D-02  2.313D-01  5.847D-02
   47   50     0     0  con    0  1.0D+00  4.2D-02  1.162D-01  4.074D-02
   48   51     0     0  con    0  1.0D+00  5.7D-02  1.165D-01  2.139D-02
   49   52     0     0  con    0  1.0D+00  7.1D-02  3.787D-01  7.184D-03
   50   53     0     0  con    0  1.0D+00  3.8D-02  9.305D-02 -8.711D-03
   51   54     0     0  con    0  1.0D+00  4.1D-02  1.087D-01 -2.336D-02
   52   55     0     0  con    0  1.0D+00  4.5D-02  1.928D-01 -3.662D-02
   53   56     0     0  con    0  1.0D+00  8.2D-02  1.730D-01 -5.181D-02
   54   57     0     0  con    0  1.0D+00  3.6D-02  1.119D-01 -6.761D-02
   55   58     0     0  con    0  1.0D+00  2.0D-02  8.586D-02 -7.878D-02
   56   59     0     0  con    0  1.0D+00  4.4D-02  1.144D-01 -9.337D-02
   57   60     0     0  con    0  1.0D+00  7.7D-02  2.913D-01 -1.005D-01
   58   61     0     0  con    0  1.0D+00  1.2D-02  1.004D-01 -1.163D-01
   59   62     0     0  con    0  1.0D+00  2.6D-02  8.182D-02 -1.256D-01
   60   63     0     0  con    0  1.0D+00  3.7D-02  7.550D-02 -1.332D-01
