RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.633D+02  6.747D+04
    1    3     1     0  ---    1  6.1D-04  5.0D+00  2.372D+02  3.318D+04
    2    4     0     0  con    0  1.0D+00  1.1D+01  3.604D+01  1.550D+03
    3    5     0     0  con    0  1.0D+00  1.4D+00  2.446D+01  8.268D+02
    4    6     0     0  con    0  1.0D+00  2.6D+00  2.774D+01  2.666D+02
    5    7     0     0  con    0  1.0D+00  1.4D+00  7.369D+01  2.093D+02
    6    8     0     0  con    0  1.0D+00  4.1D-01  1.309D+01  1.213D+02
    7    9     0     0  con    0  1.0D+00  4.8D-01  9.535D+00  8.697D+01
    8   10     0     0  con    0  1.0D+00  6.0D-01  1.088D+01  6.186D+01
    9   11     0     0  con    0  1.0D+00  8.6D-01  1.256D+01  3.689D+01
   10   13     0     0  con    1  4.4D-01  4.2D-01  6.844D+00  2.847D+01
   11   14     0     0  con    0  1.0D+00  2.6D-01  2.085D+00  2.251D+01
   12   15     0     0  con    0  1.0D+00  3.7D-01  2.189D+00  1.698D+01
   13   16     0     0  con    0  1.0D+00  4.0D-01  8.414D+00  1.352D+01
   14   17     0     0  con    0  1.0D+00  2.4D-01  1.368D+00  1.046D+01
   15   18     0     0  con    0  1.0D+00  1.6D-01  1.945D+00  8.729D+00
   16   19     0     0  con    0  1.0D+00  2.5D-01  3.720D+00  7.055D+00
   17   20     0     0  con    0  1.0D+00  3.1D-01  3.746D+00  6.032D+00
   18   21     0     0  con    0  1.0D+00  5.8D-02  7.525D-01  5.120D+00
   19   22     0     0  con    0  1.0D+00  1.1D-01  9.524D-01  4.468D+00
   20   23     0     0  con    0  1.0D+00  1.4D-01  1.559D+00  3.889D+00
   21   24     0     0  con    0  1.0D+00  3.8D-01  5.828D+00  3.659D+00
   22   25     0     0  con    0  1.0D+00  6.3D-02  4.994D-01  2.652D+00
   23   26     0     0  con    0  1.0D+00  3.9D-02  5.636D-01  2.412D+00
   24   27     0     0  con    0  1.0D+00  1.2D-01  8.569D-01  2.065D+00
   25   28     0     0  con    0  1.0D+00  1.7D-01  1.342D+00  1.696D+00
   26   29     0     0  con    0  1.0D+00  2.0D-01  1.875D+00  1.447D+00
   27   30     0     0  con    0  1.0D+00  2.7D-02  4.808D-01  1.285D+00
   28   31     0     0  con    0  1.0D+00  6.1D-02  1.071D+00  1.114D+00
   29   32     0     0  con    0  1.0D+00  9.7D-02  1.022D+00  9.737D-01
   30   33     0     0  con    0  1.0D+00  1.6D-01  1.670D+00  8.445D-01
   31   34     0     0  con    0  1.0D+00  4.0D-02  2.839D-01  7.301D-01
   32   35     0     0  con    0  1.0D+00  5.7D-02  6.265D-01  6.341D-01
   33   36     0     0  con    0  1.0D+00  6.8D-02  9.233D-01  5.550D-01
   34   37     0     0  con    0  1.0D+00  1.4D-01  7.890D-01  5.029D-01
   35   38     0     0  con    0  1.0D+00  1.7D-02  1.693D-01  4.246D-01
   36   39     0     0  con    0  1.0D+00  1.5D-02  1.772D-01  3.953D-01
   37   40     0     0  con    0  1.0D+00  5.5D-02  4.061D-01  3.423D-01
   38   41     0     0  con    0  1.0D+00  9.7D-02  1.633D+00  3.363D-01
   39   42     0     0  con    0  1.0D+00  1.5D-02  2.444D-01  2.756D-01
   40   43     0     0  con    0  1.0D+00  1.8D-02  1.321D-01  2.582D-01
   41   44     0     0  con    0  1.0D+00  4.0D-02  2.531D-01  2.366D-01
   42   45     0     0  con    0  1.0D+00  5.3D-02  2.543D-01  2.079D-01
   43   47     0     0  con    1  4.6D-01  5.7D-02  7.762D-01  1.892D-01
   44   48     0     0  con    0  1.0D+00  4.7D-02  1.176D-01  1.652D-01
   45   49     0     0  con    0  1.0D+00  3.1D-02  1.702D-01  1.481D-01
   46   50     0     0  con    0  1.0D+00  6.0D-02  6.276D-01  1.258D-01
   47   51     0     0  con    0  1.0D+00  4.3D-02  3.576D-01  1.036D-01
   48   52     0     0  con    0  1.0D+00  1.7D-02  1.806D-01  8.694D-02
   49   53     0     0  con    0  1.0D+00  6.0D-02  3.517D-01  5.594D-02
   50   54     0     0  con    0  1.0D+00  5.8D-02  6.538D-01  4.595D-02
   51   55     0     0  con    0  1.0D+00  7.4D-03  2.026D-01  2.775D-02
   52   56     0     0  con    0  1.0D+00  2.4D-02  9.927D-02  1.415D-02
   53   57     0     0  con    0  1.0D+00  3.5D-02  2.176D-01  2.692D-03
   54   58     0     0  con    0  1.0D+00  6.9D-02  3.946D-01 -1.879D-02
   55   60     0     0  con    1  5.3D-01  6.3D-02  5.169D-01 -3.215D-02
   56   61     0     0  con    0  1.0D+00  2.9D-02  1.453D-01 -4.416D-02
   57   62     0     0  con    0  1.0D+00  3.0D-02  1.511D-01 -5.577D-02
   58   63     0     0  con    0  1.0D+00  4.0D-02  2.693D-01 -6.759D-02
   59   64     0     0  con    0  1.0D+00  6.7D-02  6.481D-01 -7.536D-02
   60   65     0     0  con    0  1.0D+00  7.8D-03  1.501D-01 -8.936D-02
