1920 3
-0.700604 0.700604 0.395316
-0.801577 0.58238 0.667386
-0.882813 0.449816 0.939456
-0.942311 0.306175 1.21153
-0.978606 0.154996 1.4836
-0.990804 -3.54096e-16 1.75567
-0.978606 -0.154996 2.02774
-0.942311 -0.306175 2.29981
-0.882813 -0.449816 2.57188
-0.801577 -0.58238 2.84395
-0.700604 -0.700604 3.11602
0.987726 -0.0777357 -3.00556
0.987726 0.0777357 -3.00556
0.990766 6.93889e-18 -2.86952
0.975528 0.154509 -3.14159
0.963405 0.231293 -3.00556
0.975528 -0.154509 -3.14159
0.963405 -0.231293 -3.00556
0.987726 0.0777357 -2.73349
0.963405 0.231293 -2.73349
0.978568 0.15499 -2.59745
0.942275 0.306164 -2.86952
0.915362 0.379155 -2.73349
0.987726 -0.0777357 -2.73349
0.915362 0.379155 -3.00556
0.963405 0.231293 -2.46142
0.915362 0.379155 -2.46142
0.942275 0.306164 -2.32538
0.882779 0.449798 -2.59745
0.844779 0.517681 -2.46142
0.987726 0.0777357 -2.46142
0.844779 0.517681 -2.73349
0.915362 0.379155 -2.18935
0.844779 0.517681 -2.18935
0.882779 0.449798 -2.05331
0.801547 0.582358 -2.32538
0.753395 0.64346 -2.18935
0.963405 0.231293 -2.18935
0.753395 0.64346 -2.46142
0.844779 0.517681 -1.91728
0.753395 0.64346 -1.91728
0.801547 0.582358 -1.78124
0.700578 0.700578 -2.05331
0.64346 0.753395 -1.91728
0.915362 0.379155 -1.91728
0.64346 0.753395 -2.18935
0.753395 0.64346 -1.64521
0.64346 0.753395 -1.64521
0.700578 0.700578 -1.50917
0.582358 0.801547 -1.78124
0.517681 0.844779 -1.64521
0.844779 0.517681 -1.64521
0.517681 0.844779 -1.91728
0.582358 0.801547 -1.2371
0.64346 0.753395 -1.37314
0.517681 0.844779 -1.37314
0.449798 0.882779 -1.50917
0.379155 0.915362 -1.37314
0.753395 0.64346 -1.37314
0.379155 0.915362 -1.64521
0.379155 0.915362 -1.10107
0.449798 0.882779 -0.965033
0.517681 0.844779 -1.10107
0.231293 0.963405 -1.10107
0.306164 0.942275 -1.2371
0.64346 0.753395 -1.10107
0.231293 0.963405 -1.37314
0.379155 0.915362 -0.828998
0.231293 0.963405 -0.828998
0.306164 0.942275 -0.692964
0.15499 0.978568 -0.965033
0.0777357 0.987726 -0.828998
0.517681 0.844779 -0.828998
0.0777357 0.987726 -1.10107
0.231293 0.963405 -0.556929
0.0777357 0.987726 -0.556929
0.15499 0.978568 -0.420894
-7.08192e-17 0.990766 -0.692964
-0.0777357 0.987726 -0.556929
0.379155 0.915362 -0.556929
-0.0777357 0.987726 -0.828998
0.0777357 0.987726 -0.284859
-0.0777357 0.987726 -0.284859
-6.79586e-17 0.990766 -0.148824
-0.15499 0.978568 -0.420894
