30720 3
0.842341 0.516187 -1.91728
0.751221 0.641603 -1.91728
0.799241 0.580683 -1.78124
0.698562 0.698562 -2.05331
0.641603 0.751221 -1.91728
0.912721 0.378061 -1.91728
0.641603 0.751221 -2.18935
0.751221 0.641603 -1.64521
0.641603 0.751221 -1.64521
0.698562 0.698562 -1.50917
0.580683 0.799241 -1.78124
0.516187 0.842341 -1.64521
0.842341 0.516187 -1.64521
0.516187 0.842341 -1.91728
0.580683 0.799241 -1.2371
0.641603 0.751221 -1.37314
0.516187 0.842341 -1.37314
0.448504 0.88024 -1.50917
0.378061 0.912721 -1.37314
0.751221 0.641603 -1.37314
0.378061 0.912721 -1.64521
0.378061 0.912721 -1.10107
0.448504 0.88024 -0.965033
0.516187 0.842341 -1.10107
0.230626 0.960625 -1.10107
0.305283 0.939564 -1.2371
0.641603 0.751221 -1.10107
0.230626 0.960625 -1.37314
0.378061 0.912721 -0.828998
0.230626 0.960625 -0.828998
0.305283 0.939564 -0.692964
0.154544 0.975753 -0.965033
0.0775114 0.984876 -0.828998
0.516187 0.842341 -0.828998
0.0775114 0.984876 -1.10107
0.230626 0.960625 -0.556929
0.0775114 0.984876 -0.556929
0.154544 0.975753 -0.420894
-2.76638e-17 0.987916 -0.692964
-0.0775114 0.984876 -0.556929
0.378061 0.912721 -0.556929
-0.0775114 0.984876 -0.828998
0.0775114 0.984876 -0.284859
-0.0775114 0.984876 -0.284859
-2.65463e-17 0.987916 -0.148824
-0.154544 0.975753 -0.420894
-0.230626 0.960625 -0.284859
0.230626 0.960625 -0.284859
-0.230626 0.960625 -0.556929
-0.0775114 0.984876 -0.0127889
-0.230626 0.960625 -0.0127889
-0.154544 0.975753 0.123246
-0.305283 0.939564 -0.148824
-0.378061 0.912721 -0.0127889
0.0775114 0.984876 -0.0127889
-0.378061 0.912721 -0.284859
-0.230626 0.960625 0.259281
-0.378061 0.912721 0.259281
-0.305283 0.939564 0.395316
-0.448504 0.88024 0.123246
-0.516187 0.842341 0.259281
-0.0775114 0.984876 0.259281
-0.516187 0.842341 -0.0127889
-0.378061 0.912721 0.531351
-0.516187 0.842341 0.531351
-0.448504 0.88024 0.667386
-0.580683 0.799241 0.395316
-0.641603 0.751221 0.531351
-0.230626 0.960625 0.531351
-0.641603 0.751221 0.259281
-0.580683 0.799241 0.939456
-0.516187 0.842341 0.803421
-0.641603 0.751221 0.803421
-0.698562 0.698562 0.667386
-0.751221 0.641603 0.803421
-0.378061 0.912721 0.803421
-0.751221 0.641603 0.531351
-0.751221 0.641603 1.07549
-0.698562 0.698562 1.21153
-0.641603 0.751221 1.07549
-0.842341 0.516187 1.07549
-0.799241 0.580683 0.939456
-0.516187 0.842341 1.07549
-0.842341 0.516187 0.803421
-0.751221 0.641603 1.34756
-0.842341 0.516187 1.34756
-0.799241 0.580683 1.4836
-0.88024 0.448504 1.21153
-0.912721 0.378061 1.34756
-0.641603 0.751221 1.34756
-0.912721 0.378061 1.07549
-0.842341 0.516187 1.61963
-0.912721 0.378061 1.61963
-0.88024 0.448504 1.75567
-0.939564 0.305283 1.4836
-0.960625 0.230626 1.61963
-0.751221 0.641603 1.61963
-0.960625 0.230626 1.34756
-0.912721 0.378061 1.8917
-0.960625 0.230626 1.8917
-0.939564 0.305283 2.02774
-0.975753 0.154544 1.75567
-0.984876 0.0775114 1.8917
-0.842341 0.516187 1.8917
-0.984876 0.0775114 1.61963
-0.960625 0.230626 2.16377
-0.984876 0.0775114 2.16377
-0.975753 0.154544 2.29981
-0.987916 -2.1684e-17 2.02774
-0.984876 -0.0775114 2.16377
