RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =         4200     M =            5

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.633D+02  6.765D+04
    1    3     1     0  ---    1  6.1D-04  5.0D+00  2.376D+02  3.326D+04
    2    4     0     0  con    0  1.0D+00  1.1D+01  7.060D+01  1.582D+03
    3    5     0     0  con    0  1.0D+00  1.5D+00  4.691D+01  8.405D+02
    4    6     0     0  con    0  1.0D+00  2.5D+00  9.060D+01  3.769D+02
    5    7     0     0  con    0  1.0D+00  1.1D+00  6.475D+01  2.255D+02
    6    8     0     0  con    0  1.0D+00  3.5D-01  2.784D+01  1.634D+02
    7    9     0     0  con    0  1.0D+00  8.6D-01  1.410D+01  9.901D+01
    8   10     0     0  con    0  1.0D+00  6.1D-01  1.649D+01  7.043D+01
    9   11     0     0  con    0  1.0D+00  1.2D+00  5.194D+01  6.059D+01
   10   12     0     0  con    0  1.0D+00  2.5D-01  2.974D+00  3.690D+01
   11   13     0     0  con    0  1.0D+00  1.3D-01  4.338D+00  3.238D+01
   12   14     0     0  con    0  1.0D+00  4.5D-01  8.182D+00  2.314D+01
   13   16     0     0  con    1  5.0D-01  3.2D-01  1.363D+01  1.933D+01
   14   17     0     0  con    0  1.0D+00  3.3D-01  5.289D+00  1.486D+01
   15   18     0     0  con    0  1.0D+00  2.8D-01  1.969D+00  1.184D+01
   16   19     0     0  con    0  1.0D+00  2.9D-01  7.089D+00  9.678D+00
   17   20     0     0  con    0  1.0D+00  2.9D-01  6.172D+00  8.255D+00
   18   21     0     0  con    0  1.0D+00  7.5D-02  1.749D+00  7.036D+00
   19   22     0     0  con    0  1.0D+00  1.3D-01  2.182D+00  5.970D+00
   20   23     0     0  con    0  1.0D+00  1.4D-01  2.678D+00  5.225D+00
   21   24     0     0  con    0  1.0D+00  3.4D-01  7.576D+00  4.580D+00
   22   25     0     0  con    0  1.0D+00  5.7D-02  9.078D-01  3.745D+00
   23   26     0     0  con    0  1.0D+00  5.7D-02  1.562D+00  3.404D+00
   24   27     0     0  con    0  1.0D+00  1.3D-01  2.484D+00  2.921D+00
   25   28     0     0  con    0  1.0D+00  2.6D-01  8.642D+00  2.699D+00
   26   29     0     0  con    0  1.0D+00  8.4D-02  1.545D+00  2.074D+00
   27   30     0     0  con    0  1.0D+00  4.3D-02  7.357D-01  1.895D+00
   28   31     0     0  con    0  1.0D+00  9.4D-02  1.334D+00  1.687D+00
   29   32     0     0  con    0  1.0D+00  1.3D-01  1.409D+00  1.410D+00
   30   34     0     0  con    1  4.9D-01  1.2D-01  2.655D+00  1.276D+00
   31   35     0     0  con    0  1.0D+00  8.6D-02  8.544D-01  1.116D+00
   32   36     0     0  con    0  1.0D+00  8.1D-02  6.813D-01  9.829D-01
   33   37     0     0  con    0  1.0D+00  1.2D-01  1.958D+00  8.520D-01
   34   38     0     0  con    0  1.0D+00  9.7D-02  1.461D+00  7.463D-01
   35   39     0     0  con    0  1.0D+00  2.2D-02  4.680D-01  6.688D-01
   36   40     0     0  con    0  1.0D+00  4.6D-02  6.017D-01  5.823D-01
   37   41     0     0  con    0  1.0D+00  5.5D-02  9.333D-01  5.199D-01
   38   42     0     0  con    0  1.0D+00  1.1D-01  1.173D+00  4.375D-01
   39   43     0     0  con    0  1.0D+00  6.5D-02  1.073D+00  3.910D-01
   40   44     0     0  con    0  1.0D+00  2.3D-02  5.420D-01  3.571D-01
   41   45     0     0  con    0  1.0D+00  3.3D-02  1.450D-01  3.254D-01
   42   46     0     0  con    0  1.0D+00  4.1D-02  1.002D+00  2.952D-01
   43   47     0     0  con    0  1.0D+00  6.8D-02  6.241D-01  2.587D-01
   44   48     0     0  con    0  1.0D+00  4.8D-02  5.746D-01  2.307D-01
   45   49     0     0  con    0  1.0D+00  4.5D-02  4.258D-01  2.086D-01
   46   50     0     0  con    0  1.0D+00  1.7D-02  1.347D-01  1.937D-01
   47   51     0     0  con    0  1.0D+00  3.5D-02  5.602D-01  1.696D-01
   48   52     0     0  con    0  1.0D+00  6.5D-02  9.972D-01  1.540D-01
   49   53     0     0  con    0  1.0D+00  1.3D-02  4.261D-01  1.355D-01
   50   54     0     0  con    0  1.0D+00  2.7D-02  2.225D-01  1.201D-01
   51   55     0     0  con    0  1.0D+00  4.1D-02  4.958D-01  1.044D-01
   52   56     0     0  con    0  1.0D+00  8.3D-02  8.679D-01  8.954D-02
   53   57     0     0  con    0  1.0D+00  2.6D-02  2.729D-01  6.918D-02
   54   58     0     0  con    0  1.0D+00  1.0D-02  2.059D-01  5.846D-02
   55   59     0     0  con    0  1.0D+00  3.8D-02  4.203D-01  3.719D-02
   56   60     0     0  con    0  1.0D+00  7.6D-02  9.398D-01  1.646D-02
   57   61     0     0  con    0  1.0D+00  5.8D-02  2.969D-01 -6.514D-03
   58   62     0     0  con    0  1.0D+00  2.5D-02  1.193D-01 -1.725D-02
   59   63     0     0  con    0  1.0D+00  2.9D-02  2.934D-01 -2.616D-02
   60   64     0     0  con    0  1.0D+00  4.7D-02  6.003D-01 -3.436D-02
